datetime;conversation_ID;tweet_ID;tweet;likes;retweets;replies;language;media;user_ID;username;handle;user_description;user_image;user_followers;user_friends;doc_id
2023-01-31 23:30:02+00:00;1536998279916924929;1620565096870338565;#rstats #EconTwitter Monthly update for December 2022 on subsidy for gasoline in Japan. I estimate wholesalers took 490 billion yen, and retailers took 260 billion yen from 3 trillion yen subsidy in 2022. https://t.co/LUQuC15mnd;0;1;0;en;[Photo(previewUrl='https://pbs.twimg.com/media/Fn1nR-1aEAESkR7?format=png&name=small', fullUrl='https://pbs.twimg.com/media/Fn1nR-1aEAESkR7?format=png&name=large', altText=None)];1366280541733986304;Mitsuo Shiota;mitsuoxv;an economist and data scientist;https://pbs.twimg.com/profile_images/1367355246394023936/hCwswT2x_normal.jpg;40;11;0
2023-01-31 23:27:28+00:00;1620552118460637186;1620564450716835840;@ninaturner It does work! They’re getting pay checks! 😼#EconTwitter;0;0;0;en;;998420111013957633;G-Mart_tweets.com;gmarttweets;;https://pbs.twimg.com/profile_images/1001280645153386496/GNf7vFNK_normal.jpg;14;76;1
2023-01-31 22:57:23+00:00;1620556878983090176;1620556878983090176;"Academic journals' #AcceptanceRates
#EconTwitter, look our journals seem quite blue 😖 https://t.co/PhLEw8o1wQ";6;0;1;en;[Photo(previewUrl='https://pbs.twimg.com/media/Fn1f4f9WIAENfRA?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fn1f4f9WIAENfRA?format=jpg&name=large', altText=None)];2209319457;Martin Halla;HallaMartin;economist ~ applied micro pays the rent ~ prof @jkulinz (prior @uniinnsbruck) ~ upstream commuter ~ likes to run (regressions) ~ austrian politics 🇦🇹;https://pbs.twimg.com/profile_images/1335699143872950272/s65k-9np_normal.jpg;2839;1087;2
2023-01-31 22:53:35+00:00;1620555923487076353;1620555923487076353;"#EconTwitter 

Last week I was sick. This week is the Great Blizzard. So, another new post of #EconometricSausage called

""Tail Wagging the Dog""
 
with special guest appearance by @SHamiltonian! 

https://t.co/ltzucK2Pfi

Thanks for reading! We will get through this together!";15;5;0;en;;705281586;Daniel Millimet 🇺🇦;dlmillimet;Robert H. & Nancy Dedman Trustee Prof of Econ at @SMU, husband, son, proud papa, baseball junkie, Carroll Dragon. Mastodon: @dlmillimet@econtwitter.net;https://pbs.twimg.com/profile_images/1102707993106370560/5skYjZ31_normal.jpg;7841;3906;3
2023-01-31 22:50:01+00:00;1620555027478880256;1620555027478880256;New Post: XXIV CONFERENCE ON INTERNATIONAL ECONOMICS 2023 (Alcalá de Henares, Madrid) https://t.co/AsmwTP6Zah #EconTwitter;1;1;0;ca;;480501022;INOMICS;INOMICS;No. 1 source for #econ #jobs, #graduate programs, #courses, summer schools, #conferences, #funding, advice + much more #EconTwitter @INOMICS_updates;https://pbs.twimg.com/profile_images/1486317839594176519/wiAlQr01_normal.jpg;4800;2255;4
2023-01-31 22:42:30+00:00;1620553135055081477;1620553135055081477;"The call for papers for the @nberpubs Conference on Racial &amp; Ethnic Health Disparities closes tonight 11:59 est! Few hours left to submit your abstracts. #EconTwitter";10;8;0;en;;971099944722448384;Dr. Jevay Grooms;jevaygrooms;#BlackLivesMatter | Systematic Racism is REAL | Assistant Professor of Economics @HowardEcon @HowardU | Visiting @USCPrice | @NBERpubs Faculty Research Fellow;https://pbs.twimg.com/profile_images/971103938874302464/u-Vhf1HI_normal.jpg;3416;1369;5
2023-01-31 22:23:21+00:00;1620548315447439360;1620548315447439360;"Welfare cuts in 1834 England likely led to an increase in crime! 

#EconTwitter";0;0;0;en;;791123723495444480;Brendan O’Hare 🐮;NoBullBrendan;Economics, technology, and politics. The Dismal Science! Making sense of it all through writing. @UHouston Alum 🌎;https://pbs.twimg.com/profile_images/1613756186607734786/HmCUCpim_normal.jpg;201;942;6
2023-01-31 22:22:36+00:00;1620548116759076865;1620548128905777153;#Economia #EconTwitter #Economy #Economics;0;0;0;qht;;1451336811700228099;Café & Economia ☕📈;economia_cafe;Bacharel em Ciências Econômicas pela Universidade do Norte do Paraná.;https://pbs.twimg.com/profile_images/1451336986506244102/bbO8dxzF_normal.jpg;707;895;7
2023-01-31 22:17:23+00:00;1620546815828561922;1620546815828561922;Paper submitted! Get your manuscript out! #econtwitter https://t.co/Sg821Hr0KT;72;0;5;en;[Photo(previewUrl='https://pbs.twimg.com/media/Fn1WvRIXwAAULTF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fn1WvRIXwAAULTF?format=jpg&name=large', altText=None)];2723891737;Owen Ozier;OwenOzier;Associate Professor @WilliamsEcon;https://pbs.twimg.com/profile_images/884515350104158208/7aEvnUOX_normal.jpg;4036;938;8
2023-01-31 22:09:08+00:00;1620544740168200193;1620544740168200193;"If anyone is looking for course content for simple, concise definitions of economic terms, @OSUAppliedEcon faculty have developed a free YouTube catalog w/ short videos explaining things like externalities, public goods &amp; nonmarket values. #EconTwitter https://t.co/10GIYFNXFq";20;5;1;en;;1115294026654076928;Steven J. Dundas;SteveDundas;Environmental and natural resource economist. Associate Professor @OregonState, @OSUAppliedEcon and @OSU_Coastal;https://pbs.twimg.com/profile_images/1583227550972530688/Qec7UmEQ_normal.jpg;679;640;9
2023-01-31 21:57:07+00:00;1620541715957571587;1620541715957571587;Is my @Twitter feed the only one that just got really clogged with weird ads today for retirement planning and crypto news sites? Anyone else on #EconTwitter?;0;0;0;en;;11263482;Christopher Smart;csmart;"Chief Global Strategist & Head @Barings Investment Institute & ""Smart Take"" podcast host. Fmr US Treasury & White House. Member @CFR_org #WYC #RedSoxNation";https://pbs.twimg.com/profile_images/1435063989474578436/bbyfeix3_normal.jpg;1614;953;10
